,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g ),Chlorophyll (microg/mg dry wt),"leaf blight (0=absent,1=present)","Stem blight (0=absent, 1=present)","Root blight (0=absent,1=present)","Chlorosis (0=absent,1=present)","Leaf spot (0=none,1=browen,2=black)","Canker-lesion (1=browen,2=black)","Int-discolor (1=browen,2=black)","seed-discolor (1= browen, 2=black)","leaves -discolor (1=yello,2 =browen)","Stem-cankers (1=below-soil,2=above-soil)"
Infection plant,35.47,15.99,92.72,49.87,47.6,17.58,5.24,21.5,11.88,155.77,11.39,1,1,1,1,1,1,1,1,2,2
Infection plant,30.31,19.45,103.75,17,26.31,22.94,7.72,19.14,13.97,130.49,13.35,1,1,1,1,2,1,1,1,2,1
Infection plant,32.55,18.2,134.91,33.07,38.61,24.15,7.22,26.62,11.53,143.06,18.16,1,1,1,1,2,2,1,2,1,2
Infection plant,34.78,16.43,128.74,29.37,35.84,16.74,3.87,29.55,15.37,139.93,9.66,1,1,1,1,2,2,1,1,1,2
Infection plant,35.12,20.04,134.32,20.6,48.05,25.17,10.84,23.08,16.77,135.57,10.46,1,1,1,1,1,1,1,1,1,2
Infection plant,32.9,12.9,110.2,17.29,37.65,23.17,3.27,14.55,9.56,131,11.91,1,1,1,1,1,2,1,1,1,1
Infection plant,32.83,21.97,96.4,21.82,37.03,21.65,10.56,16.35,15.9,148.92,15.46,1,1,1,1,1,2,1,1,1,2
Infection plant,33.89,20.55,98.04,36.41,27.54,18.3,4.54,20.16,14.1,204.67,20.07,1,1,1,1,1,2,1,1,2,2
Infection plant,39.36,14.44,99.19,16.21,24.84,18.44,5.54,19.63,12.28,174.58,13.13,1,1,1,1,1,1,1,2,2,1
Infection plant,35.29,17.29,85.74,37.25,31.04,19.81,12.18,28.56,13.08,193.09,11.95,1,1,1,1,2,2,1,1,2,1
Infection plant,31.57,12.85,88.26,11.42,45.24,18.03,6.84,27.14,9.23,164.58,15.39,1,1,1,1,1,1,1,1,1,1
Infection plant,35.8,18.93,88.22,21.02,33.94,17.05,9.85,20.53,12.33,129.37,10.47,1,1,1,1,1,1,1,2,2,1
Infection plant,39.49,15.67,100.6,16,39.72,21.57,10.46,21.8,15.09,158,10.74,1,1,1,1,1,2,1,1,1,1
Infection plant,32.72,15.69,121.63,48.33,32.72,22.91,12.27,14.49,14.79,136.59,18.45,1,1,1,1,1,2,1,1,2,2
Infection plant,39.34,14.4,137.81,16.02,26.1,23.11,9.74,26.57,9.24,118.47,20.65,1,1,1,1,2,1,1,1,2,1
Infection plant,39.32,14.18,106.55,17.03,48.67,23,6.13,21.81,17.92,200.1,19.31,1,1,1,1,1,1,1,1,1,2
Infection plant,32.84,21.44,111.65,46.8,44.56,20.68,11.66,24.67,15.35,161.58,17.56,1,1,1,1,1,2,1,2,2,2
Infection plant,37.95,13.13,80.28,40.53,21.91,20.34,7.33,18.8,14.66,176,9.2,1,1,1,1,1,2,1,1,2,2
Infection plant,35.75,17.48,94.4,32.69,49,19.32,8.36,27.72,10.86,144.28,12.44,1,1,1,1,2,1,1,2,1,2
Infection plant,33.05,20.59,129.27,36.32,38.9,23.08,3.18,21.72,12.64,205.67,15.87,1,1,1,1,1,2,1,2,1,1
Infection plant,37.63,19.69,107.36,44.57,37.34,20.44,5.07,15.23,9.39,116.63,16.03,1,1,1,1,2,1,1,1,1,2
Infection plant,30.47,18.06,138.12,32.57,25.21,24.39,8.15,20.36,15.44,146.73,10.29,1,1,1,1,2,2,1,1,2,2
Infection plant,33.57,16.8,88.39,21.89,44.24,20.77,9.91,18.58,14.29,195.51,11.35,1,1,1,1,2,2,1,1,1,1
Infection plant,38.27,12.58,80.01,49.84,36.67,21.97,4.69,27.17,11.17,162.47,20.5,1,1,1,1,2,2,1,2,1,1
Infection plant,32.02,19.01,83.25,32,23.09,20.7,8.89,22.91,17.67,156.87,15.33,1,1,1,1,1,1,1,1,1,1
Infection plant,35.92,21.36,96.15,22.14,43,20.31,12.19,19.64,17.94,160,11.04,1,1,1,1,2,1,1,1,1,2
Infection plant,34.21,18.18,92.47,16.32,27.12,21.2,8.2,22.49,17.85,144.45,11.24,1,1,1,1,1,1,1,1,1,1
Infection plant,35.33,19.75,90.02,29.35,43.54,16.87,4.8,19.45,13.03,190.61,16.76,1,1,1,1,2,2,1,2,2,1
Infection plant,39.21,20.17,87.07,27.74,28.48,22.18,6.54,22.55,14.28,191.54,9.87,1,1,1,1,2,1,1,2,2,1
Infection plant,35.36,14.93,110.66,11.35,48.23,17.85,5.51,27.05,16.76,181.55,11.68,1,1,2,1,2,1,2,2,1,1
Infection plant,30,20.63,120.05,16.47,21.55,24.06,8.43,19.33,12.9,137.13,9.69,1,1,1,1,1,1,1,1,2,1
Infection plant,39.91,17.32,96.1,23.46,47.81,20.64,8.9,15.16,12.11,132.06,19.81,1,1,1,1,2,2,1,2,2,1
Infection plant,31.04,18.79,128.77,19.8,46.99,21.33,3.49,24.87,11.66,112.71,10.82,1,1,1,1,1,2,1,2,2,2
Infection plant,30.02,19.91,92.44,37.98,48.13,18.61,10.66,22.59,14.11,134,10.08,1,1,1,1,2,1,1,2,1,2
Infection plant,34.25,12.7,81.67,24.38,22.83,22.61,8.13,20.65,15.39,190.57,19.3,1,1,1,1,1,1,1,1,1,1
Infection plant,36.69,16.01,118.71,35.63,45,19.78,12.87,17.63,15.03,172.51,14.41,1,1,1,1,2,2,1,2,2,1
Infection plant,34.09,21.68,131.27,13.49,39.01,17.79,11.72,24.96,14.38,202.98,17.42,1,1,1,1,1,2,1,2,2,1
Infection plant,33.55,21.25,135.37,41.58,35.29,25.33,7.95,28,16.65,164.22,16.38,1,1,1,1,1,2,1,2,1,2
Infection plant,38.06,14.08,106.35,46.25,47.75,18.01,10.28,18.95,16.19,119.03,10.96,1,1,1,1,1,1,1,1,1,1
Infection plant,39.35,21.02,126.85,49.09,41.72,18.38,5.96,18.17,8.48,157.6,15.55,1,1,1,1,2,1,1,1,1,2
Infection plant,31.47,12.42,132.26,15.15,47.19,22.43,6.42,23.61,8.43,175.99,14.08,1,1,1,1,1,1,1,1,1,1
Infection plant,39.78,21.41,130.64,45.6,33.85,21.62,9.62,26.44,10.04,163.98,13,1,1,1,1,1,2,1,1,2,1
Infection plant,35.54,20.98,139.76,47.84,40.66,20.67,3.91,15.07,11.25,132,12.6,1,1,1,1,1,2,1,2,1,1
Infection plant,38.05,17.13,85.48,48.11,41.73,24.43,11.4,28.45,11.92,190.3,19.46,1,1,1,1,2,2,1,2,1,2
Infection plant,38.98,18.09,81.48,38.42,37.61,16.15,3.24,22,17.73,144.05,10.95,1,1,1,1,2,2,1,2,2,1
Infection plant,36.99,17.35,128.59,41.31,26.33,20.84,9.67,24.32,16.37,153.64,15.25,1,1,1,1,1,2,1,2,2,2
Infection plant,36.21,20.85,83.31,13.87,45.87,23.68,9.27,25.34,8.54,199.77,15.58,1,1,1,1,2,2,1,1,2,1
Infection plant,31.37,13.58,88.23,10.11,48.92,19.12,3.51,29.92,12.02,164,13.22,1,1,1,1,2,2,1,2,2,2
Infection plant,33.08,20.15,128.62,28.95,20.33,16.09,11.29,21.63,16.08,196.67,11,1,1,1,1,2,2,1,1,1,2
Infection plant,34.31,20.27,137,44.08,46.63,25.53,10.8,28.16,8.38,166,13.58,1,1,1,1,2,1,1,1,2,2
Infection plant,30.5,15.57,84.48,35.08,30.86,21.68,11.16,28.08,12.77,134.96,15.16,1,1,1,1,2,1,1,2,2,1
Infection plant,33.51,20.25,128.8,47.59,27.07,25.67,11.58,17.49,16.4,151.1,19,1,1,1,1,2,2,1,2,1,1
Infection plant,39.74,18.91,128.99,10.79,24.76,25.65,11.42,20.85,13.29,127.41,16.08,1,1,1,1,1,2,1,2,1,1
Infection plant,36.1,15.02,87.9,35.5,27.75,19.18,4.16,26.18,17.96,110.27,11.44,1,1,1,1,1,2,1,1,2,2
Infection plant,39.25,13.62,135.25,17.31,23.36,21.9,3.13,29.09,16.28,145.45,12.36,1,1,1,1,1,1,1,1,2,1
Infection plant,39.05,15.21,125.85,36.34,28.45,24.46,10.71,21.09,8.1,147.27,20.18,1,1,1,1,1,1,1,2,1,2
Infection plant,34.23,13,80.51,41.76,34.9,17.53,6.39,26.53,16.05,149.72,16.42,1,1,1,1,2,1,1,2,1,2
Infection plant,30.85,16.53,127.32,10.07,35.91,19.44,8.25,27.38,11.44,177.2,15.38,1,1,1,1,2,2,1,1,1,1
Infection plant,35.44,21.78,86.87,24.69,25.03,19.48,11.65,25.46,14.71,202.65,20.79,1,1,1,1,1,1,1,2,2,2
Infection plant,33.98,18.11,93.02,15.73,47.91,20.26,12.31,18.94,8.26,122.59,9.6,1,1,1,1,1,1,1,2,2,1
Infection plant,36.08,19.19,95.04,30.19,46.4,18.09,4.98,29.74,8.44,112.06,19.27,1,1,1,1,2,2,1,2,2,2
Infection plant,37.17,17.49,115.47,26.21,20.53,16.94,10.5,22.22,12.61,158.6,17.72,1,1,1,1,2,2,1,2,1,2
Infection plant,37.11,14.09,82.23,15.57,27.6,17.54,3.45,29.13,8.75,137.66,11.65,1,1,1,1,1,1,1,1,1,1
Infection plant,36.14,15.38,83.75,47.9,20,21.32,7.19,22.28,14.99,123.14,14.66,1,1,1,1,2,2,1,1,2,1
Infection plant,32.95,18.65,97.6,16.87,43.84,16.63,11.26,16.01,15.19,146.57,15.2,1,1,1,1,1,2,1,1,2,1
Infection plant,32.12,21.89,132.15,48.31,31.55,20.56,12.2,14.12,9.52,166.19,15.32,1,1,1,1,1,2,1,2,2,2
Infection plant,32.38,14.45,99.62,33.45,24.74,20.33,8.8,22.86,13.16,158.39,15.42,1,1,1,1,2,2,1,1,2,2
Infection plant,30.9,21.86,95.77,17.04,33.41,25.77,5.67,19.51,10.38,189.52,14.7,1,1,1,1,2,1,1,1,1,1
Infection plant,32.52,12.73,125.62,15.5,46.54,18.49,6.29,19.97,15.95,150.63,9.76,1,1,1,1,2,1,1,2,1,1
Infection plant,38.35,12.8,130.57,30.39,28.37,16.08,3.5,25.41,9.06,120.16,18.85,1,1,1,1,1,2,1,2,1,2
Infection plant,36.45,12.37,104.1,44.87,49.25,21.82,12.01,22.94,9.32,118.23,15.83,1,1,1,1,2,1,1,1,2,1
Infection plant,34.47,14.85,84.31,11.48,36.92,20.98,7.55,19.72,11.33,146.48,14.74,1,1,1,1,2,1,1,1,1,1
Infection plant,37.04,13.37,116.48,10.25,25.26,24.72,5.66,20,16.81,153.17,10.21,1,1,1,1,2,1,1,2,1,1
Infection plant,36.87,21.31,92.54,47.83,27.67,16.36,12.82,24.42,9.79,176.5,10.53,1,1,1,1,1,2,1,1,2,2
Infection plant,36.66,18.47,95.44,19.4,37.19,25.76,10.86,21.02,8.21,184.66,20.94,1,1,1,1,1,1,1,1,1,2
Infection plant,30.4,12.3,130.86,41.92,48.76,21.6,3,14.09,12.62,124.64,11.56,1,1,1,1,2,1,1,2,2,2
Infection plant,37.12,13.94,120,48.41,20.57,25.43,9.02,22.65,15.99,195,10.81,1,1,1,1,2,2,1,1,2,2
Infection plant,33.85,15.89,87.77,17.06,36.68,21.46,8.68,17.91,11.48,195.6,9.54,1,1,1,1,2,1,1,2,2,1
Infection plant,38.72,21.7,127.74,14.52,34.02,18.81,11.67,16.42,13.23,189.49,16.88,1,1,1,1,1,1,1,1,1,2
Infection plant,38.9,16.88,128.14,44.69,32.26,24.66,6.92,18.35,9.47,166.79,20.08,1,1,1,1,1,1,1,2,2,1
Infection plant,30.13,19.74,104.68,29.46,33.98,23.77,7.79,27.61,13.52,166.22,15.84,1,1,1,1,1,1,1,1,1,1
Infection plant,32.57,13.51,136.2,12.05,47.07,21.06,8.23,28.7,12.58,165.8,9.64,1,1,1,1,1,1,1,1,2,1
Infection plant,31.11,18.9,97.81,29.49,35.48,19.67,5.12,15.7,9.78,187.9,17.31,1,1,1,1,2,2,1,1,1,1
Infection plant,37.73,12.01,102.45,25.13,48.48,19.69,3.4,20.93,13.13,191.29,18.21,1,1,1,1,2,2,1,2,1,1
Infection plant,38.47,15.31,136.97,45.48,49.8,25.19,11.49,28.71,13.42,157.09,19.92,1,1,1,1,2,2,1,2,1,2
Infection plant,32.1,15.43,133.21,19.08,25.16,16.58,4.27,19.77,13.25,140.32,9.25,1,1,1,1,2,1,1,1,2,1
Infection plant,35.15,16.78,89.14,30,24,18.75,9.88,14.75,11.67,159.35,18.63,1,1,1,1,2,2,1,2,2,2
Infection plant,37.19,19.07,99.09,26.6,44.87,24.7,5.25,22.41,14.76,152.8,17.48,1,1,1,1,2,2,1,2,1,2
Infection plant,38.12,15.33,132.16,18.37,29.19,19.74,9.05,26.41,15.71,139.4,14.55,1,1,1,1,2,1,1,2,2,1
Infection plant,34.95,19.11,121.85,42.62,43.2,19.02,4.51,29.46,8.63,194.91,11.16,1,1,1,1,1,1,1,2,1,1
Infection plant,34.75,19.08,112.67,42.57,26.26,22.37,12.26,29.93,8.16,153.78,12.19,1,1,1,1,2,2,1,1,2,1
Infection plant,33.25,15.09,139.61,42.93,29.31,23.62,6.28,15.79,15.67,188.16,20.44,1,1,1,1,2,1,1,2,1,1
Infection plant,31.66,17.07,128.71,48.76,33.37,18.21,7.59,24.59,10.1,167.79,16.66,1,1,1,1,1,1,1,2,2,1
Infection plant,36.31,15.82,127.7,49.34,41.8,21.47,7.49,17.04,17.26,205.81,11.7,1,1,1,1,2,2,1,2,2,2
Infection plant,37.64,21.63,96.71,38.98,23,18.58,3.8,18.21,13.95,172.9,9.01,1,1,1,1,2,2,1,1,2,2
Infection plant,31.93,13.17,117.89,42.94,30.77,21.85,10.75,29.24,11.63,119.84,20.62,1,1,1,1,2,1,1,1,1,1
Infection plant,36.8,14.88,122.08,47.02,31.54,19.36,9.82,14.15,15.25,132.8,12.33,1,1,1,1,1,1,1,1,1,1
Infection plant,33.78,15.35,93.59,13.68,45.29,21.21,8.65,19.28,17.53,137.55,20.37,1,1,1,1,1,2,1,2,1,2
Infection plant,36.71,12.83,111.3,38.8,34.23,25.95,11.68,28.9,17.23,159.74,20.93,1,1,1,1,2,2,1,1,1,1
Infection plant,38.25,17.9,87.42,17.39,28.85,17.2,11.53,27.48,13.84,198,14.42,1,1,1,1,2,1,1,1,2,2
Infection plant,32.85,16.99,129.43,39.36,49.65,19.77,3.96,22.88,8.74,127.17,16.73,1,1,1,1,2,2,1,1,1,2
Infection plant,37.48,17.45,94.24,35.35,25.78,24.26,4.44,22.7,17.93,148.45,15.53,1,1,1,1,1,1,1,2,2,1
Infection plant,37.7,16.12,124.57,28.51,38.02,25.75,9.48,17.66,15.72,166.95,14.8,1,1,1,1,2,2,1,1,1,1
Infection plant,31.06,19.34,82.74,12.75,49.48,22.08,9.61,26.46,17.62,156.89,17.04,1,1,1,1,2,2,1,1,1,1
Infection plant,39.81,14.21,94,43.55,20.81,21.95,8.11,28.77,9.87,194.02,9.56,1,1,1,1,1,1,1,1,2,1
Infection plant,39.72,18.8,119.41,24.29,34.25,20.82,4.65,23.65,9.97,114.6,9.88,1,1,1,1,2,1,1,1,2,2
Infection plant,36.04,15.4,88.47,33.01,44.59,24.31,9.52,17.83,11.49,155.68,15.44,1,1,1,1,1,2,1,2,2,1
Infection plant,31.62,14.69,101.51,38.97,41.93,19.65,11.74,14.37,16.87,145.75,11.81,1,1,1,1,2,1,1,1,1,2
Infection plant,36,13.48,114.98,35.75,31.31,23.34,5.81,15.95,16.02,203.31,13.32,1,1,1,1,1,1,1,1,1,2
Infection plant,33.3,13.85,85.94,29.79,47.32,20.07,8.29,25.01,16.99,138.09,13.28,1,1,1,1,2,1,1,1,2,1
Infection plant,32.25,13.33,136.7,47.39,27.4,17.59,7.91,22.6,16.44,203,11.46,1,1,1,1,1,2,1,1,2,2
Infection plant,36.06,17.38,138.57,40,35.83,16.17,7.28,17.22,8.27,153.42,13.2,1,1,1,1,1,1,1,1,2,2
Infection plant,39.02,12.57,128.29,17.93,47.67,17.48,11.5,22.29,16,151,16.67,1,1,1,1,1,1,1,1,1,1
