,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g.),Chlorophyll (mg/g),"leaf blight (0=absent,1=present)","Stem blight (0=absent, 1=present)","Root blight (0=absent,1=present)","Chlorosis (0=absent,1=present)","Leaf spot (0=none,1=browen,2=black)","Canker-lesion (0=none, 1=browen,2=black)","Int-discolor (0=none,1=browen,2=black)","seed-discolor (0=absent,1= browen, 2=black)","leaves -discolor (0=absent,1=yello,2 =browen)","Stem-cankers (0=absent,1=below-soil,2=above-soil)"
Healthy soybean,108.02,31.49,144.18,98.24,67.38,98.24,20.3,47.17,18.88,233,34.82,0,0,0,0,0,0,0,0,0,0
Healthy soybean,44.18,23.97,194.58,92.05,69.14,92.05,20.14,32.47,20.16,379,38.58,0,0,0,0,0,0,0,0,0,0
Healthy soybean,100.7,37.34,181.12,79.7,99.92,79.7,22.85,44.22,20.11,320.23,45.8,0,0,0,0,0,0,0,0,0,0
Healthy soybean,64.8,23.31,182.35,95.92,63.26,95.92,19.95,39.11,25.51,337.23,44.99,0,0,0,0,0,0,0,0,0,0
Healthy soybean,74.63,33.81,186.6,82.58,59.07,82.58,18.56,30.12,24.53,357,29.14,0,0,0,0,0,0,0,0,0,0
Healthy soybean,68,35.84,238.73,88.39,62.87,88.39,15.84,58.84,19.05,332.24,26.17,0,0,0,0,0,0,0,0,0,0
Healthy soybean,96.12,39.25,206.8,59.45,92,59.45,21.06,36.36,25.73,287,30.74,0,0,0,0,0,0,0,0,0,0
Healthy soybean,106.38,34.27,164.75,61.42,65.8,61.42,18.22,35,18.33,275.96,44.65,0,0,0,0,0,0,0,0,0,0
Healthy soybean,86.38,28.13,179.23,93,73.47,93,20.82,41.89,21.59,375.57,34.01,0,0,0,0,0,0,0,0,0,0
Healthy soybean,43.04,30.72,207.41,79,77.46,79,17.88,38.48,27.79,293.9,42.94,0,0,0,0,0,0,0,0,0,0
Healthy soybean,102.45,34.08,168.8,75.2,56.14,75.2,13.95,53.11,27.97,313.05,47.11,0,0,0,0,0,0,0,0,0,0
Healthy soybean,103.19,36.6,229.58,73.74,71.29,73.74,16.36,54.97,22.14,360.92,27.64,0,0,0,0,0,0,0,0,0,0
Healthy soybean,90.53,28.97,207,51.55,61.42,51.55,13.64,32.31,27.99,397.49,35.78,0,0,0,0,0,0,0,0,0,0
Healthy soybean,74.09,22.22,202.56,84.18,53.9,84.18,20.25,47.63,24.89,339,39.02,0,0,0,0,0,0,0,0,0,0
Healthy soybean,62.7,33.21,231.64,73.47,60.23,73.47,14.7,50.57,19.01,304.89,23,0,0,0,0,0,0,0,0,0,0
Healthy soybean,61.45,37.18,170.07,52.88,74.66,52.88,18.8,45.39,21.99,220.21,40.75,0,0,0,0,0,0,0,0,0,0
Healthy soybean,51.59,38.55,185.52,66.29,87.38,66.29,17.78,33,19.3,252,43.65,0,0,0,0,0,0,0,0,0,0
Healthy soybean,78,32.17,219.28,74.81,63.41,74.81,17.02,30.51,26.42,325.23,49.84,0,0,0,0,0,0,0,0,0,0
Healthy soybean,83.05,28.85,222.47,78.84,75.7,78.84,20.84,41.48,23.88,233.34,25.84,0,0,0,0,0,0,0,0,0,0
Healthy soybean,80.72,30.21,223.1,96.99,99.47,96.99,23.5,38.99,19.74,244,48.72,0,0,0,0,0,0,0,0,0,0
Healthy soybean,90.96,25.45,152,57.15,71.26,57.15,19.84,39.69,20.55,398,25.03,0,0,0,0,0,0,0,0,0,0
Healthy soybean,53.03,35.97,172.5,89.85,72.61,89.85,20.7,45.75,23.63,391.14,40.96,0,0,0,0,0,0,0,0,0,0
Healthy soybean,49.39,28.66,236.32,64.15,77.84,64.15,20.37,33.06,27.5,364.61,50.76,0,0,0,0,0,0,0,0,0,0
Healthy soybean,94.89,30.08,227.57,62.56,76.56,62.56,16.74,46.36,22.37,302.37,50,0,0,0,0,0,0,0,0,0,0
Healthy soybean,62.57,23.66,208.75,69.53,58,69.53,14.1,56.09,21.6,254,37.11,0,0,0,0,0,0,0,0,0,0
Healthy soybean,62.78,29.43,225,75.04,85.08,75.04,22.24,59.57,20.33,363.02,42.93,0,0,0,0,0,0,0,0,0,0
Healthy soybean,101.26,27.83,220.03,77.97,82.24,77.97,13.71,45.71,22.94,222,21.95,0,0,0,0,0,0,0,0,0,0
Healthy soybean,57.91,34.17,178.07,68.89,60.78,68.89,20.6,53.74,21.53,374.77,41.19,0,0,0,0,0,0,0,0,0,0
Healthy soybean,75.56,23.17,226.65,74.83,56.34,74.83,14.4,51.61,18.75,337,24.61,0,0,0,0,0,0,0,0,0,0
Healthy soybean,93.09,38.01,171.32,78.6,73.59,78.6,17.08,37.78,19.81,387,22.14,0,0,0,0,0,0,0,0,0,0
Healthy soybean,51.25,22.34,161.2,52.56,84.72,52.56,18.23,35.92,27,224.3,50.32,0,0,0,0,0,0,0,0,0,0
Healthy soybean,68.2,24.56,219.63,67.85,56.18,67.85,20.18,55.89,26.79,405.73,49.54,0,0,0,0,0,0,0,0,0,0
Healthy soybean,45.79,35.62,202.28,88.08,92.72,88.08,16.06,44.2,19.57,358.53,47.74,0,0,0,0,0,0,0,0,0,0
Healthy soybean,94,36.69,207.81,72.5,94.51,72.5,19.47,43.78,18.48,282.91,32.36,0,0,0,0,0,0,0,0,0,0
Healthy soybean,82.86,22.2,210.25,82.99,73.16,82.99,13.79,33.21,19.27,263.12,26.74,0,0,0,0,0,0,0,0,0,0
Healthy soybean,60.84,25.11,177.01,96.92,68.93,96.92,17.87,30.92,24.28,269.3,24.87,0,0,0,0,0,0,0,0,0,0
Healthy soybean,82.78,35.74,147.14,78,55.83,78,17.56,31.98,19.08,400.85,20.09,0,0,0,0,0,0,0,0,0,0
Healthy soybean,87.46,35.45,238.34,60.89,80.48,60.89,19.92,48.59,19,368.5,46.64,0,0,0,0,0,0,0,0,0,0
Healthy soybean,91.83,37.36,213.58,76.78,81.4,76.78,15.91,46.78,18.54,280,31.98,0,0,0,0,0,0,0,0,0,0
Healthy soybean,100.66,32.34,228.55,82.91,69.06,82.91,18.86,56.62,23.2,262.48,43.91,0,0,0,0,0,0,0,0,0,0
Healthy soybean,109.01,25.35,238.47,63.89,56.31,63.89,16.58,57.82,21.27,373.3,24.67,0,0,0,0,0,0,0,0,0,0
Healthy soybean,53,36.68,175.09,65.09,89.96,65.09,15.1,45.35,24.24,222.68,28.02,0,0,0,0,0,0,0,0,0,0
Healthy soybean,96.36,30.3,208.21,62.29,77,62.29,15.06,42.6,19.65,251,34.15,0,0,0,0,0,0,0,0,0,0
Healthy soybean,51.73,27.54,161.11,75.18,85,75.18,21.61,57.35,27.31,351.98,31.91,0,0,0,0,0,0,0,0,0,0
Healthy soybean,73.52,37.31,158.23,97.31,80,97.31,14.13,45.2,18.29,335,26.31,0,0,0,0,0,0,0,0,0,0
Healthy soybean,78.83,25.26,219.27,51.9,56.93,51.9,23.01,48.39,24.51,375.99,31.93,0,0,0,0,0,0,0,0,0,0
Healthy soybean,83.16,23.4,176.87,57.45,80.81,57.45,19.39,56,25.95,403,43.59,0,0,0,0,0,0,0,0,0,0
Healthy soybean,46.61,32.56,227.86,73.46,63.54,73.46,14.02,35.89,21.31,246,28.06,0,0,0,0,0,0,0,0,0,0
Healthy soybean,86,22.35,204.9,87.21,86.44,87.21,15.94,55.17,27.07,284.46,31.52,0,0,0,0,0,0,0,0,0,0
Healthy soybean,91.61,39.98,180.95,96.69,62.1,96.69,16.19,53.65,19.91,247.84,25.85,0,0,0,0,0,0,0,0,0,0
Healthy soybean,73,39.87,161,57.26,66.4,57.26,16.01,57.31,18.61,234.22,22.44,0,0,0,0,0,0,0,0,0,0
Healthy soybean,51.14,38.44,154.23,68.91,72.87,68.91,18.44,38.02,25.12,292.75,34.37,0,0,0,0,0,0,0,0,0,0
Healthy soybean,82.71,28.4,190.06,90.12,77.47,90.12,22.33,34,22.66,296.58,45.73,0,0,0,0,0,0,0,0,0,0
Healthy soybean,54.25,24.62,159.74,70.09,76.85,70.09,16.14,56.68,27.16,376.5,44.13,0,0,0,0,0,0,0,0,0,0
Healthy soybean,48.37,23.53,232.29,94.9,95,94.9,22.15,36.45,24.47,274.36,24.45,0,0,0,0,0,0,0,0,0,0
Healthy soybean,86.31,32.1,226.58,66.47,63.65,66.47,16.92,58.17,26.97,395.09,31.76,0,0,0,0,0,0,0,0,0,0
Healthy soybean,108.2,40.72,209.04,58.54,76.94,58.54,19.43,42.01,27.49,367.2,34.06,0,0,0,0,0,0,0,0,0,0
Healthy soybean,60.17,30.39,232.55,87.01,81.32,87.01,20.56,38.55,24.37,361.35,27.9,0,0,0,0,0,0,0,0,0,0
Healthy soybean,63.35,32.88,151.73,86.12,58.27,86.12,17.39,43.22,19.39,389.33,45.23,0,0,0,0,0,0,0,0,0,0
Healthy soybean,93.41,38.88,189.54,84.19,64.88,84.19,13.99,50.3,25.27,404.43,22.48,0,0,0,0,0,0,0,0,0,0
Healthy soybean,89.05,24.47,193,61,65,61,17.57,57.77,24.3,316.38,35.04,0,0,0,0,0,0,0,0,0,0
Healthy soybean,96.68,36.5,222.36,69.08,92.86,69.08,20.47,39.56,22.57,212.94,39.94,0,0,0,0,0,0,0,0,0,0
Healthy soybean,92.22,33.28,196.4,97.52,63.85,97.52,16.7,53.41,27.28,323.09,35.86,0,0,0,0,0,0,0,0,0,0
Healthy soybean,43.28,26.43,178.31,73.88,56.8,73.88,19.45,42.66,19.09,371.46,26.47,0,0,0,0,0,0,0,0,0,0
Healthy soybean,50.03,35.07,147.47,81.1,99.67,81.1,22.7,52.02,20.79,267.76,25.47,0,0,0,0,0,0,0,0,0,0
Healthy soybean,84.15,22.38,144.07,66.9,99.42,66.9,20.36,44.24,22.8,314.03,35.19,0,0,0,0,0,0,0,0,0,0
Healthy soybean,97.77,38.94,154.53,60.13,96.75,60.13,14.46,32.77,27.81,248.4,22.21,0,0,0,0,0,0,0,0,0,0
Healthy soybean,106.1,33.5,182.42,53.99,90.71,53.99,17.12,52.56,20.69,308.36,48.09,0,0,0,0,0,0,0,0,0,0
Healthy soybean,44.01,38.26,168.62,63.26,84.86,63.26,18.96,50.93,19.23,387.63,28.41,0,0,0,0,0,0,0,0,0,0
Healthy soybean,53.48,39.58,146.69,82.84,85.72,82.84,17.75,34.2,21.95,308.37,20.35,0,0,0,0,0,0,0,0,0,0
Healthy soybean,54.46,27.25,202.41,63.21,95.06,63.21,13.6,43.84,27.23,266.38,29.3,0,0,0,0,0,0,0,0,0,0
Healthy soybean,55.29,40.87,154.31,90.22,69.13,90.22,22.22,58.67,26.08,252.4,37.63,0,0,0,0,0,0,0,0,0,0
Healthy soybean,84.44,33.11,200.87,59.18,80.49,59.18,14.89,39.15,24.7,239,35.84,0,0,0,0,0,0,0,0,0,0
Healthy soybean,61.92,31.85,201.14,51.04,59,51.04,18.14,34.08,24.5,214,39.46,0,0,0,0,0,0,0,0,0,0
Healthy soybean,92.56,33.4,161.63,76.59,93.43,76.59,14.73,33.72,23.64,301.95,31.83,0,0,0,0,0,0,0,0,0,0
Healthy soybean,88.05,26.96,238.16,95.26,93.21,95.26,17.65,39.87,24.26,311.45,20.25,0,0,0,0,0,0,0,0,0,0
Healthy soybean,105,23.06,178.05,55.1,60.99,55.1,13.54,31.78,24.01,295,27.12,0,0,0,0,0,0,0,0,0,0
Healthy soybean,88.73,34.85,221.11,77.73,51.5,77.73,19.2,51.15,21.8,250.65,37.72,0,0,0,0,0,0,0,0,0,0
Healthy soybean,52.04,22.48,142.31,80.58,70.69,80.58,19.64,46.53,22.79,401.06,23.48,0,0,0,0,0,0,0,0,0,0
Healthy soybean,72.1,30.51,227.52,71.79,95.63,71.79,20,39.7,25.41,227.12,37.73,0,0,0,0,0,0,0,0,0,0
Healthy soybean,74.6,39.2,175.22,87.59,98.92,87.59,21.45,44.42,24.35,244.13,46.23,0,0,0,0,0,0,0,0,0,0
Healthy soybean,102.72,30.01,235,52,97,52,22.95,38.89,24.14,374.91,26.68,0,0,0,0,0,0,0,0,0,0
Healthy soybean,83.23,31.21,193.59,51.57,56.82,51.57,20.15,51.31,27.1,391,31.74,0,0,0,0,0,0,0,0,0,0
Healthy soybean,45.56,30.85,144,90.09,91.49,90.09,14.58,38.38,20.66,296.24,40.11,0,0,0,0,0,0,0,0,0,0
Healthy soybean,60.29,28.56,227.87,59.37,52.34,59.37,15.54,51.95,26.78,371.28,49.38,0,0,0,0,0,0,0,0,0,0
Healthy soybean,100.72,23.1,167.64,50.21,92.44,50.21,16.63,45.22,19.54,305.58,44.44,0,0,0,0,0,0,0,0,0,0
Healthy soybean,103.68,22.47,165.08,88.6,77.11,88.6,16.15,51.17,24.83,257.23,29.37,0,0,0,0,0,0,0,0,0,0
Healthy soybean,61.02,25.95,193.21,73.32,83.56,73.32,18.79,38.33,26.87,255.03,43.12,0,0,0,0,0,0,0,0,0,0
Healthy soybean,71.07,24.11,186.55,80.98,91.45,80.98,18.72,39.46,26.19,279.67,46.22,0,0,0,0,0,0,0,0,0,0
Healthy soybean,81.74,32.16,172.02,74.44,81.72,74.44,14.52,31.74,21.98,254.39,47.48,0,0,0,0,0,0,0,0,0,0
Healthy soybean,87.56,26.07,213.83,83.93,79.63,83.93,17.19,48.84,19.55,306,34.13,0,0,0,0,0,0,0,0,0,0
Healthy soybean,97.16,26.67,188.74,82.36,97.92,82.36,15.58,44.3,26.5,293.79,36.38,0,0,0,0,0,0,0,0,0,0
Healthy soybean,75.66,29.2,194.46,86.29,56.4,86.29,14.23,44.88,27.61,408.52,42.8,0,0,0,0,0,0,0,0,0,0
Healthy soybean,99.18,22.58,225.41,76,79.4,76,18.88,47.62,20.38,324.12,44.76,0,0,0,0,0,0,0,0,0,0
Healthy soybean,64.47,29.5,204.74,99.11,88.27,99.11,21.2,37.88,27.3,275,41.3,0,0,0,0,0,0,0,0,0,0
Healthy soybean,98.27,26.25,197.26,87.43,76.04,87.43,19.93,58.02,18.01,323.85,33.82,0,0,0,0,0,0,0,0,0,0
Healthy soybean,87.58,28.43,201.82,68.06,68.86,68.06,21.32,47.61,20.37,377.54,48.5,0,0,0,0,0,0,0,0,0,0
Healthy soybean,82.49,26.59,182.58,99.89,67.06,99.89,16.73,37.93,27.15,403.78,20.72,0,0,0,0,0,0,0,0,0,0
Healthy soybean,87.11,32.02,235.2,75.28,71.06,75.28,18.16,57.45,27.89,272,47.3,0,0,0,0,0,0,0,0,0,0
Healthy soybean,96.33,35.44,167.16,83.4,76.96,83.4,18.57,40.03,27.47,357.74,27.2,0,0,0,0,0,0,0,0,0,0
Healthy soybean,48.71,40.24,180.63,56.59,78,56.59,20.98,55.75,20.1,312.49,38.14,0,0,0,0,0,0,0,0,0,0
Healthy soybean,66.71,31.51,146.04,95.29,63.7,95.29,13.12,42.23,22.76,254.87,41.91,0,0,0,0,0,0,0,0,0,0
Healthy soybean,53.69,25.99,209,96.63,75.1,96.63,14.53,45.87,19.24,278.08,38.47,0,0,0,0,0,0,0,0,0,0
Healthy soybean,60,40.15,216.59,71.85,97.13,71.85,18.9,42.7,21.11,387.24,31.41,0,0,0,0,0,0,0,0,0,0
Healthy soybean,42.28,35.11,202.55,65.52,98.7,65.52,21.87,57.16,22.07,365,25.09,0,0,0,0,0,0,0,0,0,0
Healthy soybean,53.79,31.61,239.56,50.44,54.2,50.44,14.72,41.16,22.48,249.17,42.11,0,0,0,0,0,0,0,0,0,0
Healthy soybean,51.48,26.81,197.44,95.78,58.96,95.78,20.55,35.55,26.46,325.61,33.79,0,0,0,0,0,0,0,0,0,0
Healthy soybean,66.42,23.61,231.66,66,88.86,66,22.2,55.57,20.97,279.25,49.23,0,0,0,0,0,0,0,0,0,0
Healthy soybean,47.73,33.57,182,77.67,57.18,77.67,16.83,57.48,22.16,410,33.28,0,0,0,0,0,0,0,0,0,0
Healthy soybean,53.59,24.55,140.95,60.35,65.84,60.35,20.34,53.1,22.35,322.36,25.22,0,0,0,0,0,0,0,0,0,0
Healthy soybean,47.33,35.64,162.35,67.46,94.19,67.46,19.37,31.84,23.69,331.01,34.31,0,0,0,0,0,0,0,0,0,0
Healthy soybean,61.16,28.47,145.06,83.69,89.81,83.69,15.62,58.98,25.81,293,24.44,0,0,0,0,0,0,0,0,0,0
Healthy soybean,81.37,25.23,159.81,93.38,60.63,93.38,14.87,48.24,23.03,244.2,24.86,0,0,0,0,0,0,0,0,0,0
Healthy soybean,107.74,23.14,171.23,85.69,51.7,85.69,22.86,48.13,25.09,231,44.97,0,0,0,0,0,0,0,0,0,0
Healthy soybean,107.61,29.87,156.16,69.28,55.77,69.28,14.3,58.71,22.47,234.9,49.52,0,0,0,0,0,0,0,0,0,0
Healthy soybean,53.37,26.93,169.65,98.67,65.44,98.67,16.52,45.59,27.42,315.47,48.71,0,0,0,0,0,0,0,0,0,0
Healthy soybean,51.03,29.95,235.16,79.38,81.85,79.38,18.83,51.79,27.58,252.65,23.58,0,0,0,0,0,0,0,0,0,0
Healthy soybean,61.95,30.79,239.38,57.42,76.31,57.42,19.18,42.55,24.4,335.12,28.49,0,0,0,0,0,0,0,0,0,0
Healthy soybean,50.27,32.8,143.45,56.31,51.86,56.31,14.26,52.34,22.19,248.35,36.28,0,0,0,0,0,0,0,0,0,0
Healthy soybean,76.45,35.55,153.54,79.6,77.75,79.6,22.39,58.89,24.69,383,38.18,0,0,0,0,0,0,0,0,0,0
Healthy soybean,82.53,26.53,141.5,69.39,78.18,69.39,14.41,45.15,26.56,312,34.72,0,0,0,0,0,0,0,0,0,0
Healthy soybean,72.48,22.07,169.98,86.46,52.58,86.46,21.59,37.03,18.78,383.84,48.55,0,0,0,0,0,0,0,0,0,0
Healthy soybean,104.46,26.72,198.51,64.7,61.94,64.7,17.92,40.94,26.89,255.8,47.32,0,0,0,0,0,0,0,0,0,0
Healthy soybean,99.37,29.37,175.16,51.06,59.45,51.06,22.64,35.86,26.15,408.18,46.14,0,0,0,0,0,0,0,0,0,0
Healthy soybean,83.46,38.42,199.22,70.73,97.43,70.73,17.21,52.15,19.04,338.3,41.68,0,0,0,0,0,0,0,0,0,0
Healthy soybean,53.24,26.02,144.78,51,64.01,51,22.25,34.15,25.23,352.93,27.31,0,0,0,0,0,0,0,0,0,0
Healthy soybean,100.58,37.2,184.22,70.28,72.89,70.28,21.09,37.72,23.6,367.18,35.74,0,0,0,0,0,0,0,0,0,0
Healthy soybean,40.26,27.4,211.68,66.05,96.76,66.05,20.96,49.89,22.55,215.18,36.95,0,0,0,0,0,0,0,0,0,0
Healthy soybean,46.67,35.72,178.27,83,88,83,13.39,32.34,27.52,238,39.82,0,0,0,0,0,0,0,0,0,0
Healthy soybean,91.95,31.67,161.7,90.55,84.82,90.55,13.85,34.61,18.04,235,36.48,0,0,0,0,0,0,0,0,0,0
Healthy soybean,40.76,26.86,181.88,67.45,52.5,67.45,22.84,40.3,22.1,280.42,32.53,0,0,0,0,0,0,0,0,0,0
Healthy soybean,77.55,39.16,205,86.59,99.17,86.59,22.06,57.43,25.35,336.26,22.8,0,0,0,0,0,0,0,0,0,0
Healthy soybean,74,24.23,210.29,88.56,52.83,88.56,20.62,50.15,18.18,399.7,38.93,0,0,0,0,0,0,0,0,0,0
Healthy soybean,77.16,40.5,212.5,67.08,77.2,67.08,17.95,33.48,18.82,297.76,21.69,0,0,0,0,0,0,0,0,0,0
Healthy soybean,63.79,37.97,162.79,91.37,96.47,91.37,21.62,58.3,22.73,395,38.86,0,0,0,0,0,0,0,0,0,0
Healthy soybean,81,35.06,152.48,84.74,79.48,84.74,19.54,30.05,25.98,285.08,46.07,0,0,0,0,0,0,0,0,0,0
Healthy soybean,80.23,27.2,212.65,58.48,76.92,58.48,13.1,45.03,26.16,331.36,50.39,0,0,0,0,0,0,0,0,0,0
Healthy soybean,95.87,22.81,171.35,76.11,92.25,76.11,16.3,58.1,20.93,407.37,24,0,0,0,0,0,0,0,0,0,0
Healthy soybean,83.94,28.1,231.14,84.49,72.51,84.49,15.04,50.42,20.84,382,28.43,0,0,0,0,0,0,0,0,0,0
Healthy soybean,79.42,25.24,189.55,84.77,82.8,84.77,13.69,58.61,23.77,235.49,37.65,0,0,0,0,0,0,0,0,0,0
Healthy soybean,102.23,40.43,181.77,70.85,66.73,70.85,18.33,48.69,22.5,246.29,36.17,0,0,0,0,0,0,0,0,0,0
Healthy soybean,62.07,24.99,206.76,69,67.34,69,20.05,56.51,24.42,380.51,48.2,0,0,0,0,0,0,0,0,0,0
Healthy soybean,80.17,32.04,148.05,56.04,55.68,56.04,16.65,38.49,23.43,262.87,48.87,0,0,0,0,0,0,0,0,0,0
Healthy soybean,87.07,27.28,142.8,53.51,75.08,53.51,14.78,59.91,18.62,252.78,30.67,0,0,0,0,0,0,0,0,0,0
Healthy soybean,49.16,23.27,237,71.86,61.98,71.86,14.96,39.49,20.92,268.03,44.85,0,0,0,0,0,0,0,0,0,0
Healthy soybean,80.71,40.66,18.86,57.23,97.17,57.23,18.37,50.06,23.12,235.15,28.23,0,0,0,0,0,0,0,0,0,0
Healthy soybean,74.73,38.05,231.87,93.48,96.8,93.48,19.67,46.74,23.47,358.8,49.31,0,0,0,0,0,0,0,0,0,0
Healthy soybean,71.62,29.4,174.42,95.45,74.31,95.45,18.76,31.3,23.41,405.1,43.51,0,0,0,0,0,0,0,0,0,0
Healthy soybean,83.85,29.89,226,98.2,52.28,98.2,19.31,49.21,23.23,317,39.58,0,0,0,0,0,0,0,0,0,0
Healthy soybean,76.85,29.96,227.12,55.02,94.6,55.02,13.59,34.05,27.35,266,43.69,0,0,0,0,0,0,0,0,0,0
Healthy soybean,70.31,37.01,225.76,55.91,62.13,55.91,22.51,42.25,27.26,262,24.26,0,0,0,0,0,0,0,0,0,0
Healthy soybean,70.9,27.65,157.21,60.2,57.5,60.2,14.99,51.47,24.05,295.61,33.63,0,0,0,0,0,0,0,0,0,0
