,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g),Chlorophyll (mg/g),Seed shrinkage (%),Amount of greenness (%),Stem fresh weight (g), Dry stem  weight (g),Root fresh weight (g),Root dry weight (g),Empty Seeds per pods (٪),Empty pods per plant  (%),Seedling fresh weight (g),Seedling dry weight (g)
Healthy soybean,46.61,32.56,227.86,73.46,63.54,73.46,14.02,35.89,21.31,246,28.06,7.93,65.81,29.48,18.88,24.33,18.19,7.23,17.19,19.22,19.03
Healthy soybean,86,22.35,204.9,87.21,86.44,87.21,15.94,55.17,27.07,284.46,31.52,10.38,84.49,24.33,14.8,26.79,18.42,6.58,13.14,15.75,20.27
Healthy soybean,91.61,39.98,180.95,96.69,62.1,96.69,16.19,53.65,19.91,247.84,25.85,13.22,59.79,24.47,11.5,27.48,11.32,7.77,16.55,15.82,11.72
Healthy soybean,73,39.87,161,57.26,66.4,57.26,16.01,57.31,18.61,234.22,22.44,7,59.48,27.04,20.43,27.53,19.36,5.8,14.56,15.71,18.65
Healthy soybean,51.14,38.44,154.23,68.91,72.87,68.91,18.44,38.02,25.12,292.75,34.37,12.88,56.01,26.02,11.59,27.6,11.54,3.09,10.71,18.65,11.08
Healthy soybean,82.71,28.4,190.06,90.12,77.47,90.12,22.33,34,22.66,296.58,45.73,16.37,94.11,26.67,19.37,24.49,19.33,9.98,12.12,23.27,17.88
Healthy soybean,54.25,24.62,159.74,70.09,76.85,70.09,16.14,56.68,27.16,376.5,44.13,9.98,96.53,24.01,19.64,28.17,18.18,2.65,13.39,17.29,14.47
Healthy soybean,48.37,23.53,232.29,94.9,95,94.9,22.15,36.45,24.47,274.36,24.45,7.63,97.53,21.86,13.94,29.96,12.68,8.39,13.38,23.31,20.83
Healthy soybean,86.31,32.1,226.58,66.47,63.65,66.47,16.92,58.17,26.97,395.09,31.76,8.89,95.48,28.2,14.94,24.92,12.27,9.27,14.21,18.92,17.94
Healthy soybean,108.2,40.72,209.04,58.54,76.94,58.54,19.43,42.01,27.49,367.2,34.06,12.28,98.97,27.59,13.02,21.1,15.16,1.46,14.71,18.33,15.2
Healthy soybean,60.17,30.39,232.55,87.01,81.32,87.01,20.56,38.55,24.37,361.35,27.9,11.73,91.41,21.15,13.5,24.42,20.3,5.19,11.11,22.07,13.79
Healthy soybean,63.35,32.88,151.73,86.12,58.27,86.12,17.39,43.22,19.39,389.33,45.23,12.23,98.67,29.72,19.69,29.78,13.74,2.93,13.57,23.55,17.34
Healthy soybean,93.41,38.88,189.54,84.19,64.88,84.19,13.99,50.3,25.27,404.43,22.48,11.44,66.29,21.83,15.14,25.78,19.46,10.18,17.7,14.96,12.22
Healthy soybean,89.05,24.47,193,61,65,61,17.57,57.77,24.3,316.38,35.04,7.12,71.16,22.1,14.03,24.17,13.17,7.6,14.66,18.12,15.05
Healthy soybean,96.68,36.5,222.36,69.08,92.86,69.08,20.47,39.56,22.57,212.94,39.94,13.26,78.03,21.28,17.11,22.87,13.19,4.05,10.45,15.52,11.21
Healthy soybean,92.22,33.28,196.4,97.52,63.85,97.52,16.7,53.41,27.28,323.09,35.86,7.11,76.9,27.57,18.12,25.96,14.01,3,11.84,22.69,18.31
Healthy soybean,43.28,26.43,178.31,73.88,56.8,73.88,19.45,42.66,19.09,371.46,26.47,11.36,94.65,24.42,14.57,23.27,19.56,4.78,16.37,23.87,20.69
Healthy soybean,50.03,35.07,147.47,81.1,99.67,81.1,22.7,52.02,20.79,267.76,25.47,12.61,50.06,23.31,18.02,26.8,13.57,8.99,10.33,19.45,20.14
Healthy soybean,84.15,22.38,144.07,66.9,99.42,66.9,20.36,44.24,22.8,314.03,35.19,9.46,88.28,27.16,11.8,25.92,18.16,3.9,13.34,21.56,12.25
Healthy soybean,97.77,38.94,154.53,60.13,96.75,60.13,14.46,32.77,27.81,248.4,22.21,9.06,90.09,20.09,13.8,29.99,19.16,8.09,17.51,20.47,20.06
Healthy soybean,106.1,33.5,182.42,53.99,90.71,53.99,17.12,52.56,20.69,308.36,48.09,11.59,58,27.27,18.53,24.93,12.77,10.2,13.92,18.66,15.36
Healthy soybean,44.01,38.26,168.62,63.26,84.86,63.26,18.96,50.93,19.23,387.63,28.41,8.33,98.41,21.05,19.28,29.6,12.17,7.38,15.03,19.44,15.51
Healthy soybean,53.48,39.58,146.69,82.84,85.72,82.84,17.75,34.2,21.95,308.37,20.35,15.29,77.91,28.73,13,25,15.17,6.83,16.96,21.83,18.73
Healthy soybean,54.46,27.25,202.41,63.21,95.06,63.21,13.6,43.84,27.23,266.38,29.3,13.64,60.25,24.65,14.56,30.63,17.46,8.07,9.61,21.78,17.67
Healthy soybean,55.29,40.87,154.31,90.22,69.13,90.22,22.22,58.67,26.08,252.4,37.63,10.84,55.3,23.55,17.08,27.74,18.74,2.66,10.26,22.91,13.26
Healthy soybean,84.44,33.11,200.87,59.18,80.49,59.18,14.89,39.15,24.7,239,35.84,10.95,59.45,22.09,11,24.4,18.87,4.71,10.55,18.76,17.03
Healthy soybean,61.92,31.85,201.14,51.04,59,51.04,18.14,34.08,24.5,214,39.46,15.15,76.2,26.62,17.82,28.57,17.05,1.82,14.29,16.97,14.92
Healthy soybean,92.56,33.4,161.63,76.59,93.43,76.59,14.73,33.72,23.64,301.95,31.83,10.19,50.09,22.63,17.51,25.58,15.14,3.97,13.09,16.2,15.07
Healthy soybean,88.05,26.96,238.16,95.26,93.21,95.26,17.65,39.87,24.26,311.45,20.25,16.51,51.91,21.44,19.95,29.53,15.13,9.43,15.5,23.99,16.22
Healthy soybean,105,23.06,178.05,55.1,60.99,55.1,13.54,31.78,24.01,295,27.12,8.08,50.76,27.82,12.04,24.97,19.14,9.1,18.69,18.03,18.72
Healthy soybean,88.73,34.85,221.11,77.73,51.5,77.73,19.2,51.15,21.8,250.65,37.72,7.28,90.21,23.18,14.83,26.68,16.49,5.22,16.19,19.78,20.87
Healthy soybean,52.04,22.48,142.31,80.58,70.69,80.58,19.64,46.53,22.79,401.06,23.48,10.92,84.46,26.24,14.96,26.83,15.88,8.55,15.86,14.01,15.86
Healthy soybean,72.1,30.51,227.52,71.79,95.63,71.79,20,39.7,25.41,227.12,37.73,7.32,90.28,22.55,12.16,21.9,11.01,8.01,18.03,23.16,12.92
Healthy soybean,74.6,39.2,175.22,87.59,98.92,87.59,21.45,44.42,24.35,244.13,46.23,9.28,81.49,22.92,12.36,29.82,13.51,5.36,16.27,18.87,14.63
Healthy soybean,102.72,30.01,235,52,97,52,22.95,38.89,24.14,374.91,26.68,16.78,69.28,20.86,19.87,30.15,11.27,2.07,9.99,18.7,20.25
Healthy soybean,83.23,31.21,193.59,51.57,56.82,51.57,20.15,51.31,27.1,391,31.74,14.74,77.97,29.99,18.21,25.8,18.32,6.96,10.7,18.14,13.72
Healthy soybean,45.56,30.85,144,90.09,91.49,90.09,14.58,38.38,20.66,296.24,40.11,8.16,78.6,28.35,18.29,22.7,12.88,6.41,12.9,21.95,19.37
Healthy soybean,60.29,28.56,227.87,59.37,52.34,59.37,15.54,51.95,26.78,371.28,49.38,11.28,54.95,28.99,14.37,29.07,12.32,1.49,13.01,17.96,19.27
Healthy soybean,100.72,23.1,167.64,50.21,92.44,50.21,16.63,45.22,19.54,305.58,44.44,10.69,98.71,29.93,12.55,25.94,18.46,4.23,11.89,15.06,16.03
Healthy soybean,103.68,22.47,165.08,88.6,77.11,88.6,16.15,51.17,24.83,257.23,29.37,12.09,73.96,20.65,12.17,29.2,12.93,4.22,12.77,15.96,11.69
Healthy soybean,61.02,25.95,193.21,73.32,83.56,73.32,18.79,38.33,26.87,255.03,43.12,8.93,73.32,26.84,20.63,24.78,15.8,4.04,12.69,18.01,16.66
Healthy soybean,71.07,24.11,186.55,80.98,91.45,80.98,18.72,39.46,26.19,279.67,46.22,15.14,79.68,25.55,18.87,26.9,15.79,2.1,16.62,15.78,20.33
Healthy soybean,81.74,32.16,172.02,74.44,81.72,74.44,14.52,31.74,21.98,254.39,47.48,10.33,56.22,23.53,15.04,27.63,13.12,7.46,11.82,15.36,19.05
Healthy soybean,87.56,26.07,213.83,83.93,79.63,83.93,17.19,48.84,19.55,306,34.13,8.62,92.81,20.45,15.26,24.41,15.19,10.31,10.01,22.78,12.68
Healthy soybean,97.16,26.67,188.74,82.36,97.92,82.36,15.58,44.3,26.5,293.79,36.38,7.88,93.21,24.03,12.73,24.55,15.52,5.08,15.24,16.55,17.32
Healthy soybean,75.66,29.2,194.46,86.29,56.4,86.29,14.23,44.88,27.61,408.52,42.8,14.24,76.89,26.66,20.42,21.34,14.41,4.19,14.83,15.4,18.29
Healthy soybean,99.18,22.58,225.41,76,79.4,76,18.88,47.62,20.38,324.12,44.76,11.18,70.95,28.95,13.95,30.11,14.96,3.16,13.12,18.83,13.04
Healthy soybean,64.47,29.5,204.74,99.11,88.27,99.11,21.2,37.88,27.3,275,41.3,15.1,87.35,23.77,14.62,24.38,16.04,10.79,10.27,21.04,13.45
Healthy soybean,98.27,26.25,197.26,87.43,76.04,87.43,19.93,58.02,18.01,323.85,33.82,12.94,64.15,24.54,19.08,23.82,12.54,2.43,11.75,23.69,15.23
Healthy soybean,87.58,28.43,201.82,68.06,68.86,68.06,21.32,47.61,20.37,377.54,48.5,7.61,80.94,26.68,11.53,28.37,16.24,3.96,9.8,22.05,19.55
Healthy soybean,82.49,26.59,182.58,99.89,67.06,99.89,16.73,37.93,27.15,403.78,20.72,7.05,51.77,20.26,16.6,24.88,18.54,2.62,13.08,16.47,13.96
Healthy soybean,87.11,32.02,235.2,75.28,71.06,75.28,18.16,57.45,27.89,272,47.3,16.49,60.28,22.91,17.5,29,18.97,6.87,9.28,17.03,16.43
Healthy soybean,96.33,35.44,167.16,83.4,76.96,83.4,18.57,40.03,27.47,357.74,27.2,12.7,95.54,22.62,16.71,24.12,18.11,1.66,14.69,21.65,16.45
Healthy soybean,48.71,40.24,180.63,56.59,78,56.59,20.98,55.75,20.1,312.49,38.14,16.21,56.52,24.55,19.32,25.45,12.79,7.39,11.23,21.6,13.99
Healthy soybean,66.71,31.51,146.04,95.29,63.7,95.29,13.12,42.23,22.76,254.87,41.91,10.83,50.79,26.56,12.12,28.95,17.61,4.45,17.07,22.06,20.03
Healthy soybean,53.69,25.99,209,96.63,75.1,96.63,14.53,45.87,19.24,278.08,38.47,15.08,91.18,24.91,13.17,21.77,14.65,5.07,12.47,19.09,15.96
Healthy soybean,60,40.15,216.59,71.85,97.13,71.85,18.9,42.7,21.11,387.24,31.41,16.11,59.89,24.99,17.81,22.18,13.26,1.55,18.42,21.77,11.64
Healthy soybean,42.28,35.11,202.55,65.52,98.7,65.52,21.87,57.16,22.07,365,25.09,15.28,87.79,29.27,16.89,29.26,16.21,8.9,14.32,14.67,16.25
Healthy soybean,53.79,31.61,239.56,50.44,54.2,50.44,14.72,41.16,22.48,249.17,42.11,16.89,60.83,20.07,16.94,26.88,14.93,3.72,12.25,14.83,18.49
Healthy soybean,51.48,26.81,197.44,95.78,58.96,95.78,20.55,35.55,26.46,325.61,33.79,16.61,72.5,21.65,15.99,30,18.28,3.38,15.59,20.88,17.77
Healthy soybean,66.42,23.61,231.66,66,88.86,66,22.2,55.57,20.97,279.25,49.23,11.41,71.26,26.04,17.03,28.54,19.97,2.84,18.62,23.64,15.64
Healthy soybean,47.73,33.57,182,77.67,57.18,77.67,16.83,57.48,22.16,410,33.28,14.99,69.88,20.82,18.8,29.45,20.29,2.27,13.85,17.44,14.49
Healthy soybean,53.59,24.55,140.95,60.35,65.84,60.35,20.34,53.1,22.35,322.36,25.22,13.11,77.32,26.09,12.85,22.49,17.48,5.7,18.15,21.84,15.12
Healthy soybean,47.33,35.64,162.35,67.46,94.19,67.46,19.37,31.84,23.69,331.01,34.31,13.69,70.02,28.65,13.34,29.15,19.66,4.03,18.38,23.56,15.53
Healthy soybean,61.16,28.47,145.06,83.69,89.81,83.69,15.62,58.98,25.81,293,24.44,11.61,53.09,26.38,20.06,23.3,18.69,10.69,17.65,22.43,13.51
Healthy soybean,81.37,25.23,159.81,93.38,60.63,93.38,14.87,48.24,23.03,244.2,24.86,14.01,53.9,21.08,20.94,28.77,13.42,2.15,12.07,18.05,19.91
