,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g ),Chlorophyll (mg/g ),Seed shrinkage (%),Amount of greenness (%),Stem fresh weight (g), Stem dry  weight (g),Root fresh weight (mg),Root dry weight (mg),Empty Seeds per pods (٪),Empty pods per plant  (%),Seedling fresh weight (g),Seedling dry weight (g)
Infection plant,34.6,20.37,114.18,18.92,49.59,16.42,3.17,16.93,10.14,163.18,18.61,22.56,33.16,19.36,6.94,11.05,1.39,26.67,84.87,13.29,1.57
Infection plant,36.01,14.46,122.04,13.05,47.78,21.38,12.41,19.18,8.78,181.77,14.3,25.9,43.9,11.25,6.13,11.5,9.97,61.01,74.73,10.04,3.17
Infection plant,30.8,14.74,134.9,35.25,27.76,21.96,10.94,14.41,10.68,124.7,12.88,20.65,27.74,13.46,5.65,19.86,10.69,55.76,87.17,8.36,2.89
Infection plant,39.62,12.68,138.86,27.71,31.65,16.11,10.34,15.48,8.09,139.61,8.7,26.66,20.97,18.73,10.63,15.94,9.6,43.66,91.6,11.02,10.37
Infection plant,39.23,18.83,82.8,42.01,29.99,16.79,4,18.75,9.86,113.82,17.38,20.58,28.33,15.44,5.39,13.55,10.05,86.6,86.02,12.31,2.36
Infection plant,34.98,19.64,84.97,39.8,28.38,19.11,10.19,16.66,14.46,182.34,11.55,24.88,13.54,10.4,3.4,20.7,9.85,71.72,57.35,8.61,1.7
Infection plant,31.59,19.23,120.63,49.2,38.12,23.38,3.43,21.82,10.91,172.17,12.04,20.96,24.69,13.51,10.67,14.15,4.31,60.17,54.06,6.51,2.8
Infection plant,30.46,12.17,100.99,38.72,27.02,19.15,11.62,24.49,17.19,173.59,18.98,18.49,18.41,17.78,10.02,20.57,9.86,12.84,55.12,7.49,4.66
Infection plant,33.46,19.9,118.11,47.29,44.98,18.57,10.32,21.98,13.48,152.92,8.15,23.85,47.88,18.61,1.62,15.91,2.98,75.82,59.95,13.34,3.18
Infection plant,39.55,21.55,139.69,37.69,21.85,24.55,7.68,23.95,13.04,203.64,18.06,26.08,30.64,13.43,1.46,14.75,6.3,71.67,54.54,6.6,2.49
Infection plant,39.19,16.56,130.21,22.08,47.82,19.97,6.76,29.16,14.53,161.87,11.32,23.13,31.47,19.46,4.99,19.39,4.77,88.58,74.14,8.18,4.42
Infection plant,37.98,15.84,113.79,38,34.48,17.22,11.35,29.22,17.71,127.98,16.59,22.5,17.11,10.78,8.42,17.32,4.27,43.32,98.42,4.91,10.07
Infection plant,30.55,17.64,122.71,32.12,30.47,23.54,9.39,28.87,8.58,200.46,12.24,25.93,33.84,10.09,5.57,11.39,9.58,12,37.88,11.08,4.63
Infection plant,33.52,18.05,98.79,28.3,49.23,17.07,10.4,22.18,12.71,192.59,9.73,17.15,36.18,15.66,5.31,12.69,8.34,76.83,48.51,10.95,3.47
Infection plant,36.23,20.42,125.92,24.91,40.65,24.74,11.47,18.9,11.35,190.47,9.65,20.03,17.93,18.58,4.59,13.49,10.7,29.89,87.3,11.01,4.89
Infection plant,38.8,16.44,134.51,12.82,21.61,22.46,9.07,17.08,13.34,182.84,12.85,22.33,45.99,18.92,1.05,18.65,1.17,84.9,52.38,7.12,3.33
Infection plant,38.04,14.27,133.38,45.06,43.56,18.5,12.86,23.94,15.16,200.56,12.45,18.66,38.87,10.37,10.11,12.31,3.42,35.62,54.79,5.64,4.35
Infection plant,32.63,13.32,94.54,49.01,29.94,18.02,7.65,18.08,9.61,203.67,18.86,24.6,39.36,19.88,8.02,19.17,2.37,82.55,54.43,5.41,2.33
Infection plant,38.21,20.97,131.47,10.94,36.57,19.07,9.96,28.63,11.5,112.17,13.52,26.57,12.21,15.11,4.27,11.59,7.18,88.72,46.38,6.63,6
Infection plant,39.64,15.2,108,36.06,37.83,17.14,4.88,15.87,9.41,182.14,11.85,24.16,12.68,18.38,3.86,16.17,8.2,24.56,91.13,8.91,10.85
Infection plant,31.33,14.97,123.3,39.73,40.99,20.3,9.31,14.3,15,183.77,17.37,24,48.12,14.17,7.59,16.3,5.5,61.7,66.89,5.37,2.95
Infection plant,38.78,13.91,98.94,43.74,29.51,25.7,12.03,29,17.75,144.82,18.02,25.58,27.23,11.38,6.49,17.47,3.68,54.37,96.03,6.66,6.01
Infection plant,31.75,17.44,109.31,26.15,23.77,21.58,11.89,26.69,17.9,111.29,11.07,19.8,35.63,10.21,3.45,19.89,3.71,62.6,54.6,8.41,7.05
Infection plant,39.9,16.24,115.85,12.21,31.29,21.77,7.64,26.39,8.34,199.68,12.7,22.31,30.87,15.5,6.83,11.98,7.9,59.31,96.87,4.34,6.23
Infection plant,38.11,14.11,87.78,28.34,22.46,24.33,7.41,16.63,9.91,131.65,9.74,17.89,28.95,11.09,7.89,15.93,5.15,55.99,82.45,12.1,3.98
Infection plant,33.72,21.48,133.97,45.22,39.87,18.54,12.92,15.88,15.13,165.72,13.9,26.52,30.44,15.04,3.42,17.55,1.78,77.23,23.03,12.89,8.61
Infection plant,36.18,14.22,110,26.99,42.78,22.49,12.98,15.99,11.72,153.59,12.25,18.76,26.45,17.05,6.74,12.61,5.24,55.79,64.19,8.49,2.17
Infection plant,34.7,12.07,114.31,13.12,25.2,21.41,11.95,14.39,17.28,112,14.09,17.16,27.58,13.76,2.26,13,1.72,82.37,76.38,8.51,10.26
Infection plant,39.82,18.49,103.28,29.44,37.49,16.67,6.1,24.97,15.27,177.97,9.91,17.86,27.5,14.63,2.68,15.23,7.37,24,54.4,10.33,5.47
Infection plant,33.18,15.39,124.93,19.11,38.96,17.8,7.15,14.45,13.21,110,12.84,20.35,41.92,18.53,8.32,12.72,8.89,12.93,22.9,11.47,10.38
Infection plant,35.41,20.52,98.52,39.52,49.22,21.99,11.99,19.31,16.96,196.39,9.35,22.87,48.01,15.32,1.33,13.6,6.33,40.99,72.72,13.97,8.47
Infection plant,35.34,13.54,93.95,15.64,38.03,18.35,4.56,14.4,10.02,183.37,10.78,20.76,24.56,16.46,10.48,18.62,8.61,98.58,81.13,10.71,1.91
Infection plant,34.57,20.48,114.93,33.59,23.39,21.15,7.7,16.37,10.78,160.15,10.23,23.95,10.25,19.19,8.38,15.24,2.9,72.39,72.78,8.05,4.32
Infection plant,38.79,19.76,109.54,44.06,49.67,24.76,10.7,15.04,12.47,161.6,9.07,17.41,40.2,12.2,6.07,16.66,3.77,60.15,55.59,4.33,9.72
Infection plant,36.16,17.65,124.8,46.45,24.22,17.66,9.21,14.77,9.27,143.17,17.14,22.19,17.07,15.71,8.2,13.94,8.71,55.75,83.11,10.98,10.29
Infection plant,30.22,12.09,115.35,29.57,23.92,20.21,12.08,14.32,15.4,142.23,19.89,26.69,35.97,18.21,1.36,13.78,6.57,55.53,44.29,6.4,7.44
Infection plant,36.38,21.4,129,21.05,36.72,20.97,11.76,28.85,8.15,126.86,10.59,21.91,36.43,12.4,7.86,12.59,1.07,47.07,32.3,8.42,3.52
Infection plant,37.94,14.61,110.09,20.5,30.12,23.32,8.34,16.16,12.6,134.25,15.81,17.43,24.91,10.9,8.06,16.61,4.56,26.6,54.13,4.26,9.34
Infection plant,32.05,14.84,91.39,36.47,33.56,21.29,7.99,29.11,16.72,121.53,10.97,21.35,23.85,13.27,2.17,12.28,7.64,37.38,53.91,9.75,10.2
Infection plant,31.88,15.56,124.6,19.26,37.1,18.2,4.36,27.02,13.45,147.41,13.15,20.71,47.79,19.2,5.69,18.77,3.64,27.44,79.35,6.61,7.81
Infection plant,31.56,17.68,94.68,31.64,31.84,24.87,6.68,18.3,9.73,196.51,19.82,23.67,15.57,11.06,8.99,14.6,10.48,52.09,65,5.8,1.8
Infection plant,39.24,14.65,137.77,12.4,38.8,22.48,6.77,14.35,14.42,157.33,13.37,23.76,31.65,12.68,7.96,12.79,6.19,99.41,65.36,9.21,2.87
Infection plant,31.85,14.16,132.68,36.68,32.11,18.89,4.94,23.09,15.61,169.26,15.41,21.46,18.11,10.25,2.56,16.15,8.55,62.82,96,11.84,1.24
Infection plant,39.73,12.19,97.11,28.5,20.75,25.63,10.06,15.13,16.69,150.83,15.98,19.65,45.13,17.21,2.74,20.71,2.88,19.38,36.62,7.48,7.64
Infection plant,33.65,19.79,93.79,41.05,41.58,20.06,5.78,14.91,17.08,187,12.08,22.1,38.3,10.27,5.74,16.7,2.86,85.49,54,13.06,7.37
Infection plant,38.45,14.9,103.3,18.05,36.3,21.28,9.3,29.88,12.53,126.98,18.55,21.29,20.04,17.7,5.32,14.72,2.73,72.26,56.04,5.16,3.99
Infection plant,30.05,19.95,125.7,36.23,37.85,19.04,7.13,26.08,12.2,152,13.85,26.14,28.24,10.49,8.73,11.76,5.55,55.61,78.73,8.62,8.39
Infection plant,32.65,21.9,102.27,28.58,28.46,18.08,11.41,21.99,12.96,191.92,10.54,17.62,37.47,18.64,9.05,20.62,5.93,73.3,55.05,8.8,6.67
Infection plant,38.31,18.35,128.55,37.01,49.81,22.86,11.59,19.66,16.5,148.76,11.79,23.57,47.58,12.76,3.19,16.89,4.06,23.68,23.07,8.38,5.63
Infection plant,33.95,21.05,81.51,13.86,47.47,19.8,8.92,17.19,11.2,121.32,8.68,23.9,29.78,16.98,9.48,11.44,1.68,48.07,85.19,11.58,1.08
Infection plant,38.4,19.83,89.6,35.92,23.82,20.95,10.43,14.62,15.33,127.73,18.87,21.78,20.6,19.55,8.04,17.24,1.99,87.65,88.18,5.96,10.57
Infection plant,39.63,12.29,82.4,17.58,34.51,25.49,5.75,21.61,15.79,159.06,13.14,21.21,13.47,19.63,1.8,17,8.84,53.04,47.16,11.98,2
Infection plant,32.98,18.31,128.88,20.92,47.34,16.54,11.85,18.83,10.76,191.11,16.25,22.92,36.26,12.27,1.16,12.87,1.06,38.57,69.65,8.31,6.72
Infection plant,34.45,13.92,101.87,27.44,49.02,23.04,12.57,24.31,15.28,182.09,13.5,25.04,23.64,18.13,4.25,12.88,6.18,23.25,34.86,6.57,2.63
Infection plant,31.23,18.26,107.95,34.53,39.09,25.85,11.93,24.18,14.54,136.18,15.66,20.72,11.68,16.97,2,20.36,6.25,79.05,97,7.4,5.3
Infection plant,37.2,19.53,92,45.71,29.83,24.03,8.55,29.6,11.26,146.64,12.23,23.8,26.15,15.92,8.29,12.34,10.42,34.65,41.57,12.53,5.38
Infection plant,32.15,19.88,137.76,49.71,26.61,21.37,4.47,27.3,12.69,142.93,14.92,18.31,39.05,14.55,6.31,18.46,2.51,96.92,54.78,11.42,5.72
Infection plant,34,20.9,88.57,25.98,46.76,23.57,7.47,25.85,9.93,205.36,14.07,17.98,33.85,18.09,10.4,14.49,2.53,60.66,41.6,9.16,8.13
Infection plant,34.03,20.91,120.66,35.77,39,17.36,6.18,26.02,14.45,168.99,12.32,20.66,30.07,14.44,9.77,12.94,6.54,43.59,64.81,6.67,6.24
Infection plant,38.75,20.05,118.95,29.76,49.83,24.65,5.56,28.36,11.94,174.3,8.53,20.21,35.75,12.63,4.95,13.3,8.28,60.48,97.73,13.84,7.12
Infection plant,35.47,15.99,92.72,49.87,47.6,17.58,5.24,21.5,11.88,155.77,11.39,18.64,35,13.55,2.77,19.63,9.25,35.78,97.84,11.71,5.83
Infection plant,30.31,19.45,103.75,17,26.31,22.94,7.72,19.14,13.97,130.49,13.35,24.94,39.94,16.7,8.95,18.25,3.45,15.39,26.36,9.79,6.28
Infection plant,32.55,18.2,134.91,33.07,38.61,24.15,7.22,26.62,11.53,143.06,18.16,24.09,11.51,19.26,6.3,18.19,1.7,30.4,55.21,10.03,9.63
Infection plant,34.78,16.43,128.74,29.37,35.84,16.74,3.87,29.55,15.37,139.93,9.66,19.16,36.71,11.23,10,16.4,1.35,55.58,67.29,12.85,6.15
Infection plant,35.12,20.04,134.32,20.6,48.05,25.17,10.84,23.08,16.77,135.57,10.46,25.41,23.3,11.1,7.2,15.56,8.43,60.76,24.63,6.15,4.14
Infection plant,32.9,12.9,110.2,17.29,37.65,23.17,3.27,14.55,9.56,131,11.91,22.58,18.62,14.4,10.1,20.26,1.64,99.73,52.55,10.25,1.56
Infection plant,32.83,21.97,96.4,21.82,37.03,21.65,10.56,16.35,15.9,148.92,15.46,25.85,41.25,13.57,3.04,12.36,7.41,84,56.14,12.4,3.27
Infection plant,33.89,20.55,98.04,36.41,27.54,18.3,4.54,20.16,14.1,204.67,8.07,20.27,29.7,19.15,9.68,13.15,9.15,87.12,94.75,5.83,10.02
Infection plant,39.36,14.44,99.19,16.21,24.84,18.44,5.54,19.63,12.28,174.58,13.13,26.91,11.97,15,6.55,12.41,10.3,60.35,19.25,13.42,6.2
Infection plant,35.29,17.29,85.74,37.25,31.04,19.81,12.18,28.56,13.08,193.09,11.95,18.4,39.07,19.53,9.75,14.74,4.21,66.95,61.96,5.76,8.82
Infection plant,31.57,12.85,88.26,11.42,45.24,18.03,6.84,27.14,9.23,164.58,15.39,19.68,27.45,18.45,5.78,17.87,2.92,12.83,98.23,6.31,8
Infection plant,35.8,18.93,88.22,21.02,33.94,17.05,9.85,20.53,12.33,129.37,10.47,23.78,12.75,13.82,1.94,11.4,7.59,53.85,96.81,7.3,4.93
Infection plant,39.49,15.67,100.6,16,39.72,21.57,10.46,21.8,15.09,158,10.74,26.5,24.32,11.27,2.06,19.23,8.4,49.29,55.64,5.53,1.45
Infection plant,32.72,15.69,121.63,48.33,32.72,22.91,12.27,14.49,14.79,136.59,18.45,18.3,30.19,19.13,2.57,17.1,6.37,20,68.18,10.29,4.81
Infection plant,39.34,14.4,137.81,16.02,26.1,23.11,9.74,26.57,9.24,118.47,8.65,18.41,29.53,14.25,10.76,14.25,10.31,52.52,36.01,10.38,2.73
Infection plant,39.32,14.18,106.55,17.03,48.67,23,6.13,21.81,17.92,200.1,19.31,25.34,39.18,13.63,5.54,18.93,9.56,20.76,56.46,5.57,7.08
Infection plant,32.84,21.44,111.65,46.8,44.56,20.68,11.66,24.67,15.35,161.58,17.56,21.5,40.64,12.32,10.14,14.87,2.99,39.85,41.12,11.25,8.53
Infection plant,37.95,13.13,80.28,40.53,21.91,20.34,7.33,18.8,14.66,176,9.2,23.39,43.01,17.41,3.54,20.49,2.29,57.48,96.9,8.12,9.56
Infection plant,35.75,17.48,94.4,32.69,49,19.32,8.36,27.72,10.86,144.28,12.44,17.85,34.23,14.64,2.58,17.54,2.24,68.8,54.21,6.35,8.08
Infection plant,33.05,20.59,129.27,36.32,38.9,23.08,3.18,21.72,12.64,205.67,15.87,20.16,41.54,17.3,3.14,14.65,3.84,97.31,27,11.52,3.39
Infection plant,37.63,19.69,107.36,44.57,37.34,20.44,5.07,15.23,9.39,116.63,16.03,19.26,15.31,17.31,6.91,17.41,1.63,55.45,54.25,6.37,3.2
Infection plant,30.47,18.06,138.12,32.57,25.21,24.39,8.15,20.36,15.44,146.73,10.29,23.69,42.45,11.03,3.12,16.54,7.38,38,74.16,5.06,2.42
Infection plant,33.57,16.8,88.39,21.89,44.24,20.77,9.91,18.58,14.29,195.51,11.35,21.99,16.51,13.31,6.02,11.8,4.7,51,54.31,11.43,1.26
Infection plant,38.27,12.58,80.01,49.84,36.67,21.97,4.69,27.17,11.17,162.47,8.5,22.78,28.17,12,6.23,17.33,8.44,83.99,31.87,9,3.58
Infection plant,32.02,19.01,83.25,32,23.09,20.7,8.89,22.91,17.67,156.87,15.33,18.95,49.13,10.3,2.52,12.29,10.67,37.78,40.01,4.39,8.29
Infection plant,35.92,21.36,96.15,22.14,43,20.31,12.19,19.64,17.94,160,11.04,19.21,43.55,14.83,10.08,14.51,10.6,39.36,49.13,4.94,2.14
Infection plant,34.21,18.18,92.47,16.32,27.12,21.2,8.2,22.49,17.85,144.45,11.24,19.96,48.17,18.07,5.07,12.37,10.4,12.45,73.08,11.94,8.35
Infection plant,35.33,19.75,90.02,29.35,43.54,16.87,4.8,19.45,13.03,190.61,16.76,23.47,44.78,17.02,5.46,17.46,3.43,65,45.04,10.85,6.87
Infection plant,39.21,20.17,87.07,27.74,28.48,22.18,6.54,22.55,14.28,191.54,9.87,20.33,19.95,14.16,5.5,18,2.02,53,58.87,7.31,8.62
Infection plant,35.36,14.93,110.66,11.35,48.23,17.85,5.51,27.05,16.76,181.55,11.68,24.76,12.3,17.87,5.44,17.25,9.4,57.81,93.82,9.9,6.42
Infection plant,30,20.63,120.05,16.47,21.55,24.06,8.43,19.33,12.9,137.13,9.69,20.81,40.28,12.36,8.1,17.99,10.16,60.74,19.65,10.55,6.59
Infection plant,39.91,17.32,96.1,23.46,47.81,20.64,8.9,15.16,12.11,132.06,19.81,23.43,13.61,18.76,4.09,19.26,3.52,18.25,19.92,9.84,10.33
Infection plant,31.04,18.79,128.77,19.8,46.99,21.33,3.49,24.87,11.66,112.71,10.82,20.39,45.6,15.16,5.41,14.63,3.58,55.01,55.84,10.99,2.98
Infection plant,30.02,19.91,92.44,37.98,48.13,18.61,10.66,22.59,14.11,134,10.08,21.85,30.68,12.72,10.36,18.52,6.41,91.62,83.21,13.59,5.56
Infection plant,34.25,12.7,81.67,24.38,22.83,22.61,8.13,20.65,15.39,190.57,19.3,25.63,46.72,16.52,1.08,13.38,8.96,35.96,28.8,12.62,10.94
Infection plant,36.69,16.01,118.71,35.63,45,19.78,12.87,17.63,15.03,172.51,14.41,24.07,24,13.77,8.84,19.87,1.15,21.77,48.11,7.14,10.76
Infection plant,34.09,21.68,131.27,13.49,39.01,17.79,11.72,24.96,14.38,202.98,17.42,22.69,38.72,14.82,1.42,14.95,3.35,30.39,86.09,4.82,5.32
Infection plant,33.55,21.25,135.37,41.58,35.29,25.33,7.95,28,16.65,164.22,16.38,19.56,30.51,11.5,10.7,14.66,3.49,66.59,20.17,4.14,10.88
Infection plant,38.06,14.08,106.35,46.25,47.75,18.01,10.28,18.95,16.19,119.03,10.96,22.26,13.4,16.05,6.85,14.31,6.82,54.61,52.28,9.26,5.35
Infection plant,39.35,21.02,126.85,49.09,41.72,18.38,5.96,18.17,8.48,157.6,15.55,17.2,44.06,16.13,6.89,20.59,1.73,32.49,54.99,7.18,7.38
Infection plant,31.47,12.42,132.26,15.15,47.19,22.43,6.42,23.61,8.43,175.99,14.08,19.07,21.4,13.93,2.18,13.48,9.73,42.83,39.55,13.54,9.57
Infection plant,39.78,21.41,130.64,45.6,33.85,21.62,9.62,26.44,10.04,163.98,13,19.47,38.93,15.47,9.06,19.11,10.73,61.37,55.97,13.91,10.92
Infection plant,35.54,20.98,139.76,47.84,40.66,20.67,3.91,15.07,11.25,132,12.6,22.96,17.49,19.93,4.42,11.81,10.45,69.04,82.14,9.91,5.6
Infection plant,38.05,17.13,85.48,48.11,41.73,24.43,11.4,28.45,11.92,190.3,19.46,20.32,18.03,10.83,1.41,19.31,9.95,74.72,55.57,5.99,7.9
Infection plant,38.98,18.09,81.48,38.42,37.61,16.15,3.24,22,17.73,144.05,10.95,21.12,31.64,13.53,4.55,15.02,5.95,34,82.31,12.04,5.89
Infection plant,36.99,17.35,128.59,41.31,26.33,20.84,9.67,24.32,16.37,153.64,15.25,21.83,46.23,14.49,1.59,20.52,5.2,92.98,27.86,13.68,10.65
Infection plant,36.21,20.85,83.31,13.87,45.87,23.68,9.27,25.34,8.54,199.77,15.58,24.27,36.72,18.51,2.11,13.28,5.72,32.12,86.38,13.69,4.79
Infection plant,31.37,13.58,88.23,10.11,48.92,19.12,3.51,29.92,12.02,164,13.22,24.45,17.89,13.28,3.7,13.18,5.84,43.15,23.22,6.52,8.5
Infection plant,33.08,20.15,128.62,28.95,20.33,16.09,11.29,21.63,16.08,196.67,11,20.51,46.32,15.2,4.87,18.81,1.18,71.63,50.37,8.84,8.22
Infection plant,34.31,20.27,137,44.08,46.63,25.53,10.8,28.16,8.38,166,13.58,21.18,11.41,18.48,1.58,19.71,6.62,35.11,93,5.34,2.46
Infection plant,30.5,15.57,84.48,35.08,30.86,21.68,11.16,28.08,12.77,134.96,15.16,21.54,12.8,10.7,6,18.72,10.86,36.86,55.56,7.26,10.59
Infection plant,33.51,20.25,128.8,47.59,27.07,25.67,11.58,17.49,16.4,151.1,19,23.61,32.7,15.86,4.68,14.23,7.34,55.19,54.08,9.34,1.35
Infection plant,39.74,18.91,128.99,10.79,24.76,25.65,11.42,20.85,13.29,127.41,16.08,21.24,14,16.27,7.74,17.02,10.43,29.98,58.07,13.62,8.02
Infection plant,36.1,15.02,87.9,35.5,27.75,19.18,4.16,26.18,17.96,110.27,11.44,21.77,27.21,13.66,6.33,17.2,2.16,27.62,79.86,10.63,5.26
Infection plant,39.25,13.62,135.25,17.31,23.36,21.9,3.13,29.09,16.28,145.45,12.36,22.73,49.36,11.71,7.51,20.47,8.45,59.8,74.79,5.02,1.28
Infection plant,39.05,15.21,125.85,36.34,28.45,24.46,10.71,21.09,8.1,147.27,8.18,17.6,41.22,17.33,10.65,15.95,8.98,23.88,24.56,12.01,6.89
Infection plant,34.23,13,80.51,41.76,34.9,17.53,6.39,26.53,16.05,149.72,16.42,25.44,17.06,17.08,5.84,13.92,9.23,91.09,34.13,5.22,1.66
Infection plant,30.85,16.53,127.32,10.07,35.91,19.44,8.25,27.38,11.44,177.2,15.38,19.13,11.23,18.65,6.18,13.11,1.36,55.02,45.76,10.76,3.57
Infection plant,35.44,21.78,86.87,24.69,25.03,19.48,11.65,25.46,14.71,202.65,8.79,21.49,29.37,15.51,5.3,11.67,10.29,79,56.31,8.23,7.23
Infection plant,33.98,18.11,93.02,15.73,47.91,20.26,12.31,18.94,8.26,122.59,9.6,21.37,19.28,15.48,3.05,14.32,2.23,64.34,59.37,4.72,2.37
Infection plant,36.08,19.19,95.04,30.19,46.4,18.09,4.98,29.74,8.44,112.06,19.27,23.2,29.84,11.51,2.71,16.57,6,51.96,29.45,11.68,10.68
Infection plant,37.17,17.49,115.47,26.21,20.53,16.94,10.5,22.22,12.61,158.6,17.72,21.69,39.84,15.14,1.92,19.25,6.42,61.61,60,7.71,2.26
Infection plant,37.11,14.09,82.23,15.57,27.6,17.54,3.45,29.13,8.75,137.66,11.65,23.99,35.31,14.95,6.69,16.12,6.29,21.18,60.2,9.07,3.77
Infection plant,36.14,15.38,83.75,47.9,20,21.32,7.19,22.28,14.99,123.14,14.66,19.17,17.19,13.59,9.47,18.22,2.54,85.9,55.38,13.03,3.12
Infection plant,32.95,18.65,97.6,16.87,43.84,16.63,11.26,16.01,15.19,146.57,15.2,24.26,34.9,19.58,2.49,12.42,10.24,55.26,99.38,8.96,1.5
Infection plant,32.12,21.89,132.15,48.31,31.55,20.56,12.2,14.12,9.52,166.19,15.32,21.97,40.16,11.22,5.61,13.4,10.52,56.42,54.5,8.17,9.98
Infection plant,32.38,14.45,99.62,33.45,24.74,20.33,8.8,22.86,13.16,158.39,15.42,19.91,17.16,10.69,9.01,20.12,2.46,79.26,25.84,9.12,10.17
Infection plant,30.9,21.86,95.77,17.04,33.41,25.77,5.67,19.51,10.38,189.52,14.7,26.9,30.75,16.85,4.46,16.02,4.48,39.91,76.37,9.93,9.55
Infection plant,32.52,12.73,125.62,15.5,46.54,18.49,6.29,19.97,15.95,150.63,9.76,21.56,48.95,14.62,8.56,20.96,8.5,69.39,85,12.72,2.39
Infection plant,38.35,12.8,130.57,30.39,28.37,16.08,3.5,25.41,9.06,120.16,18.85,26.8,17.09,12.78,2.63,11.42,1.89,22.56,92.93,4.28,1.97
Infection plant,36.45,12.37,104.1,44.87,49.25,21.82,12.01,22.94,9.32,118.23,15.83,20.14,39.88,18.24,8.51,16.71,7.21,98.84,60.57,10.57,3.16
Infection plant,34.47,14.85,84.31,11.48,36.92,20.98,7.55,19.72,11.33,146.48,14.74,21.72,39.83,19.95,6.53,16.1,3.47,12.11,23.31,12.76,2.3
